股票代码_Stkcd,日期_Date,开盘价_Oppr,最高价_Hipr,最低价_Lopr,收盘价_Clpr
"000158",2011-01-04,"6.6900","6.8800","6.6500","6.8300"
"000158",2011-01-05,"6.7700","6.9000","6.7700","6.8000"
"000158",2011-01-06,"6.7800","6.9600","6.7200","6.8900"
"000158",2011-01-07,"6.8700","7.1200","6.8300","7.0600"
"000158",2011-01-10,"7.0500","7.0500","6.7700","6.7700"
"000158",2011-01-11,"6.7100","6.7800","6.6200","6.7100"
"000158",2011-01-12,"6.7000","6.7700","6.6500","6.7700"
"000158",2011-01-13,"6.8200","6.8600","6.7700","6.7800"
"000158",2011-01-14,"6.8000","6.8200","6.5500","6.6200"
"000158",2011-01-17,"6.5900","6.6500","6.1600","6.1700"
"000158",2011-01-18,"6.1600","6.2000","6.1000","6.1800"
"000158",2011-01-19,"6.1900","6.3200","6.1400","6.2900"
"000158",2011-01-20,"6.2700","6.2700","5.9100","5.9300"
"000158",2011-01-21,"5.9500","6.0400","5.8500","5.9500"
"000158",2011-01-24,"5.9800","5.9800","5.8000","5.8100"
"000158",2011-01-25,"5.8300","5.8600","5.7400","5.8600"
"000158",2011-01-26,"5.8700","5.9400","5.8100","5.9000"
"000158",2011-01-27,"5.8900","5.9300","5.7900","5.9100"
"000158",2011-01-28,"5.9100","5.9300","5.8000","5.8800"
"000158",2011-01-31,"5.8800","6.0200","5.8300","5.9300"
"000158",2011-02-01,"6.0600","6.2800","6.0300","6.1600"
"000158",2011-02-09,"6.0600","6.1500","6.0200","6.0400"
"000158",2011-02-10,"6.0000","6.2100","5.9900","6.1800"
"000158",2011-02-11,"6.2300","6.2700","6.1500","6.2000"
"000158",2011-02-14,"6.2100","6.4100","6.2000","6.3700"
"000158",2011-02-15,"6.3600","6.4700","6.3100","6.3700"
"000158",2011-02-16,"6.3800","6.4300","6.2800","6.4100"
"000158",2011-02-17,"6.4100","6.5700","6.3700","6.5000"
"000158",2011-02-18,"6.5000","6.5000","6.3500","6.3900"
"000158",2011-02-21,"6.3900","6.4500","6.2900","6.4200"
"000158",2011-02-22,"6.4500","6.4700","6.1400","6.1500"
"000158",2011-02-23,"6.1900","6.3700","6.1400","6.3100"
"000158",2011-02-24,"6.2900","6.4000","6.2500","6.4000"
"000158",2011-02-25,"6.4300","6.6900","6.3600","6.6600"
