股票代码_Stkcd,日期_Date,开盘价_Oppr,最高价_Hipr,最低价_Lopr,收盘价_Clpr
"000028",2016-01-04,,,,
"000028",2016-01-05,,,,
"000028",2016-01-06,,,,
"000028",2016-01-07,,,,
"000028",2016-01-08,,,,
"000028",2016-01-11,,,,
"000028",2016-01-12,,,,
"000028",2016-01-13,,,,
"000028",2016-01-14,,,,
"000028",2016-01-15,,,,
"000028",2016-01-18,,,,
"000028",2016-01-19,,,,
"000028",2016-01-20,,,,
"000028",2016-01-21,,,,
"000028",2016-01-22,,,,
"000028",2016-01-25,,,,
"000028",2016-01-26,,,,
"000028",2016-01-27,,,,
"000028",2016-01-28,,,,
"000028",2016-01-29,,,,
"000028",2016-02-01,,,,
"000028",2016-02-02,,,,
"000028",2016-02-03,,,,
"000028",2016-02-04,,,,
"000028",2016-02-05,,,,
"000028",2016-02-15,,,,
"000028",2016-02-16,,,,
"000028",2016-02-17,,,,
"000028",2016-02-18,,,,
"000028",2016-02-19,,,,
"000028",2016-02-22,,,,
"000028",2016-02-23,,,,
"000028",2016-02-24,,,,
"000028",2016-02-25,,,,
"000028",2016-02-26,,,,
"000028",2016-02-29,,,,
"000028",2016-03-01,,,,
"000028",2016-03-02,,,,
"000028",2016-03-03,,,,
"000028",2016-03-04,,,,
"000028",2016-03-07,,,,
"000028",2016-03-08,,,,
"000028",2016-03-09,,,,
"000028",2016-03-10,,,,
"000028",2016-03-11,,,,
"000028",2016-03-14,,,,
"000028",2016-03-15,,,,
"000028",2016-03-16,,,,
"000028",2016-03-17,,,,
"000028",2016-03-18,,,,
"000028",2016-03-21,,,,
"000028",2016-03-22,,,,
"000028",2016-03-23,,,,
"000028",2016-03-24,,,,
"000028",2016-03-25,"63.0500","63.0500","59.5400","60.1000"
"000028",2016-03-26,,,,
"000028",2016-03-28,"60.0800","63.4900","59.8800","62.1100"
"000028",2016-03-29,"61.1100","62.0000","60.1300","60.4200"
"000028",2016-03-30,"60.8500","64.3700","60.8500","63.9200"
"000028",2016-03-31,"64.0700","64.1600","62.7000","63.7800"
"000028",2016-04-01,"63.7700","63.7700","61.3100","61.8900"
"000028",2016-04-05,"61.9000","63.8500","61.4800","63.4900"
"000028",2016-04-06,"63.3000","66.7500","62.7600","65.2300"
"000028",2016-04-07,"65.2000","71.0800","65.2000","66.2500"
"000028",2016-04-08,"65.5100","69.4800","65.3500","69.2700"
"000028",2016-04-11,"69.6800","73.4500","69.6800","71.0700"
"000028",2016-04-12,"70.3800","72.2800","68.5500","68.8900"
"000028",2016-04-13,"68.6400","70.6000","67.5000","67.7500"
"000028",2016-04-14,"67.6500","69.5000","66.6800","68.4800"
"000028",2016-04-15,"68.0200","68.8900","67.7700","68.7600"
"000028",2016-04-18,"69.8000","70.1500","68.0100","69.2300"
"000028",2016-04-19,"69.0000","70.9800","68.5800","70.3200"
"000028",2016-04-20,"70.5000","70.9500","64.0000","67.0000"
"000028",2016-04-21,"66.6000","67.9000","66.0200","66.8900"
"000028",2016-04-22,"66.2000","67.8900","66.0000","67.1000"
"000028",2016-04-23,,,,
"000028",2016-04-25,"66.8500","67.8000","64.4400","66.9100"
"000028",2016-04-26,"66.0000","68.4000","66.0000","68.2800"
"000028",2016-04-27,"68.6800","70.5000","68.3100","69.4000"
"000028",2016-04-28,"69.9900","69.9900","67.3000","68.5000"
"000028",2016-04-29,"67.8100","70.5000","67.7500","70.0000"
"000028",2016-05-03,"69.8000","72.8100","69.5800","70.8900"
"000028",2016-05-04,"70.7800","71.6800","69.8000","70.4800"
"000028",2016-05-05,"70.0000","70.5600","68.7500","69.2500"
"000028",2016-05-06,"69.2400","69.8400","67.3000","67.3300"
"000028",2016-05-09,"66.7000","67.2400","64.0000","65.8000"
"000028",2016-05-10,"66.4300","67.1600","64.9500","65.0000"
"000028",2016-05-11,"65.7500","69.9800","65.6000","69.4100"
"000028",2016-05-12,"68.0000","69.8000","67.6500","68.6200"
"000028",2016-05-13,"68.6200","69.0900","67.7000","68.5800"
"000028",2016-05-16,"68.5800","68.9700","67.2000","68.6100"
"000028",2016-05-17,"68.5300","69.9400","68.0000","68.1300"
"000028",2016-05-18,"67.2500","67.9800","64.5000","65.4100"
"000028",2016-05-19,"65.7000","66.4000","64.4400","65.4000"
"000028",2016-05-20,"64.6400","65.3900","64.6000","65.0900"
"000028",2016-05-23,"65.1000","66.3900","64.7800","65.0000"
"000028",2016-05-24,"65.3000","65.3500","63.5500","63.9000"
"000028",2016-05-25,"63.6100","64.5800","63.5500","63.7900"
"000028",2016-05-26,"63.7900","64.3800","60.6100","62.3900"
"000028",2016-05-27,"62.3900","62.5000","59.6000","60.6600"
"000028",2016-05-30,"59.6100","62.8000","59.0300","62.6100"
"000028",2016-05-31,"62.1300","65.8800","62.0500","65.2000"
"000028",2016-06-01,"64.8000","64.8100","63.2100","63.5100"
