股票代码_Stkcd,日期_Date,开盘价_Oppr,最高价_Hipr,最低价_Lopr,收盘价_Clpr
"000025",2013-06-06,"6.4700","6.4700","6.3000","6.3100"
"000025",2013-06-07,"6.2800","6.3900","6.2300","6.2400"
"000025",2013-06-13,"6.2200","6.2200","5.8400","5.9900"
"000025",2013-06-14,"6.0700","6.0700","5.9800","6.0200"
"000025",2013-06-17,"6.0200","6.1000","5.9800","6.1000"
"000025",2013-06-18,"6.1100","6.1200","6.0300","6.0600"
"000025",2013-06-19,"6.0700","6.0700","5.9200","6.0000"
"000025",2013-06-20,"5.9800","5.9800","5.8700","5.8900"
"000025",2013-06-21,"5.8100","5.8600","5.7000","5.8400"
"000025",2013-06-24,"5.8400","5.8600","5.4200","5.8600"
"000025",2013-06-25,"5.8600","6.4300","5.6300","6.1700"
"000025",2013-06-26,"6.2200","6.2200","5.8000","6.0700"
"000025",2013-06-27,"5.9800","6.2600","5.8800","5.9900"
"000025",2013-06-28,"5.9600","6.0000","5.6900","5.7600"
"000025",2013-06-30,,,,
"000025",2013-07-01,"5.7600","5.8300","5.7000","5.8200"
"000025",2013-07-02,"5.8200","5.9200","5.7400","5.8500"
"000025",2013-07-03,"5.8500","5.8500","5.7100","5.8000"
"000025",2013-07-04,"5.8000","5.9100","5.7000","5.8400"
"000025",2013-07-05,"5.8400","6.0400","5.8200","6.0200"
"000025",2013-07-08,"5.9500","5.9500","5.7500","5.7600"
"000025",2013-07-09,"5.7100","5.8200","5.7100","5.7700"
"000025",2013-07-10,"5.7800","5.9100","5.7000","5.9000"
"000025",2013-07-11,"5.9000","6.0700","5.8600","6.0000"
"000025",2013-07-12,"6.0000","6.0700","5.8900","5.8900"
"000025",2013-07-15,"5.8600","6.0200","5.8600","5.9800"
"000025",2013-07-16,"6.0100","6.0500","5.9500","6.0500"
"000025",2013-07-17,"6.0400","6.1600","5.9800","6.0000"
"000025",2013-07-18,"5.9800","6.0100","5.7900","5.9100"
"000025",2013-07-19,"5.9100","5.9400","5.7600","5.7900"
"000025",2013-07-22,"5.8000","6.1400","5.8000","5.9100"
"000025",2013-07-23,"6.0400","6.0700","5.9200","6.0300"
"000025",2013-07-24,"5.9700","6.0500","5.9200","6.0000"
"000025",2013-07-25,"5.9900","6.0600","5.9300","5.9400"
"000025",2013-07-26,"6.0000","6.0000","5.8000","5.8700"
"000025",2013-07-29,"5.8100","6.0400","5.8000","5.8900"
"000025",2013-07-30,"5.8200","5.9000","5.7200","5.8500"
"000025",2013-07-31,"5.8500","5.9600","5.8500","5.9500"
"000025",2013-08-01,"5.9300","6.0200","5.9200","6.0200"
"000025",2013-08-02,"6.0200","6.2000","5.9800","6.1700"
"000025",2013-08-05,"6.1100","6.1600","6.0800","6.1300"
"000025",2013-08-06,"6.1300","6.1600","6.0700","6.1400"
"000025",2013-08-07,"6.1200","6.1700","6.1100","6.1400"
"000025",2013-08-08,"6.1500","6.3000","6.0800","6.1700"
"000025",2013-08-09,"6.2200","6.2200","6.0500","6.1400"
"000025",2013-08-12,"6.2000","6.3500","6.1300","6.2900"
"000025",2013-08-13,"6.2700","6.3500","6.2500","6.3000"
"000025",2013-08-14,"6.3200","6.3200","6.1800","6.2300"
"000025",2013-08-15,"6.2200","6.2600","6.1800","6.2200"
"000025",2013-08-16,"6.1700","6.2700","6.0600","6.1000"
"000025",2013-08-19,"6.0300","6.2300","6.0300","6.2100"
"000025",2013-08-20,"6.2400","6.2500","6.1000","6.1600"
"000025",2013-08-21,"6.1300","6.3300","6.1000","6.3200"
"000025",2013-08-22,"6.3300","6.4000","6.2500","6.2700"
"000025",2013-08-23,"6.2800","6.3600","6.0900","6.2000"
"000025",2013-08-26,"6.2400","6.3700","6.2000","6.3600"
"000025",2013-08-27,"6.3400","6.4900","6.3000","6.3800"
"000025",2013-08-28,"6.4000","6.5500","6.3200","6.4400"
"000025",2013-08-29,"6.4200","6.6800","6.3400","6.6100"
"000025",2013-08-30,"6.5600","6.9500","6.5200","6.6100"
"000025",2013-09-02,"6.6200","6.7900","6.3500","6.4700"
"000025",2013-09-03,"6.4300","6.5500","6.3800","6.5100"
"000025",2013-09-04,"6.5300","6.5700","6.3900","6.4500"
"000025",2013-09-05,"6.4500","6.5300","6.3900","6.4800"
"000025",2013-09-06,"6.4900","6.5500","6.4000","6.5000"
"000025",2013-09-09,"6.5300","6.7000","6.4900","6.5600"
"000025",2013-09-10,"6.5700","6.6200","6.5100","6.5800"
"000025",2013-09-11,"6.5800","6.6400","6.4600","6.5000"
"000025",2013-09-12,"6.5400","6.6000","6.4100","6.5300"
"000025",2013-09-13,"6.5500","6.9800","6.4600","6.9100"
"000025",2013-09-16,"6.8900","6.9300","6.7100","6.8000"
"000025",2013-09-17,"6.7700","7.1600","6.6600","7.0200"
"000025",2013-09-18,"6.8800","6.9900","6.7200","6.8000"
"000025",2013-09-23,"6.8100","7.1000","6.7500","7.0500"
"000025",2013-09-24,"6.9600","7.1800","6.8800","7.0500"
"000025",2013-09-25,"7.0400","7.1400","6.9100","6.9800"
"000025",2013-09-26,"6.9800","6.9800","6.7000","6.7600"
"000025",2013-09-27,"6.7500","6.8500","6.6800","6.7700"
"000025",2013-09-30,"6.7600","6.8500","6.7500","6.8100"
"000025",2013-10-08,"6.8200","6.8800","6.7300","6.8500"
"000025",2013-10-09,"6.8500","6.9200","6.8000","6.9100"
"000025",2013-10-10,"6.9200","7.1900","6.8600","7.0400"
"000025",2013-10-11,"7.0400","7.7400","7.0400","7.4600"
"000025",2013-10-14,"7.4600","7.7200","7.3800","7.5600"
"000025",2013-10-15,"7.5800","7.6400","7.3300","7.4400"
"000025",2013-10-16,"7.4300","7.4900","7.1700","7.2400"
"000025",2013-10-17,"7.2900","7.7500","7.2900","7.6300"
"000025",2013-10-18,"7.6300","7.6800","7.4800","7.5500"
"000025",2013-10-21,"7.3700","7.6900","7.3700","7.5500"
"000025",2013-10-22,"7.5800","7.6600","7.4500","7.5500"
"000025",2013-10-23,"7.6000","7.6000","7.1000","7.1800"
"000025",2013-10-24,"7.1200","7.2600","7.1000","7.1300"
"000025",2013-10-25,"7.1200","7.2300","6.9400","6.9600"
"000025",2013-10-28,"7.0500","7.3400","6.9600","7.1500"
"000025",2013-10-29,"7.1000","7.3200","6.7500","6.9200"
"000025",2013-10-30,"6.9300","7.0600","6.8500","7.0200"
"000025",2013-10-31,"7.0300","7.1500","6.8700","6.9500"
"000025",2013-11-01,"6.9500","7.0200","6.8000","6.9200"
"000025",2013-11-04,"6.9200","6.9900","6.8600","6.9800"
"000025",2013-11-05,"6.9100","7.0900","6.8500","7.0900"
"000025",2013-11-06,"7.0900","7.1000","6.9800","6.9800"
"000025",2013-11-07,"6.9100","7.0000","6.8000","6.8100"
"000025",2013-11-08,"6.8000","6.8400","6.7600","6.7800"
"000025",2013-11-11,"6.7600","6.9000","6.7500","6.9000"
"000025",2013-11-12,"6.9000","6.9800","6.8500","6.9600"
"000025",2013-11-13,"6.9600","7.0000","6.8600","6.9600"
"000025",2013-11-14,"6.8600","7.0000","6.8600","6.9900"
"000025",2013-11-15,"7.0000","7.2900","7.0000","7.1800"
"000025",2013-11-18,"7.2800","7.3700","7.2000","7.3200"
"000025",2013-11-19,"7.2900","7.3600","7.1900","7.3000"
"000025",2013-11-20,"7.3000","7.5200","7.2300","7.4500"
"000025",2013-11-21,"7.4900","7.5500","7.3400","7.4500"
"000025",2013-11-22,"7.5600","7.5800","7.2500","7.3700"
"000025",2013-11-25,"7.2900","7.4200","7.2500","7.2700"
"000025",2013-11-26,"7.2500","7.4000","7.2200","7.3800"
"000025",2013-11-27,"7.3600","7.6000","7.3600","7.5600"
"000025",2013-11-28,"7.5600","8.1200","7.4800","7.7500"
"000025",2013-11-29,"7.8000","8.0000","7.7200","7.8700"
"000025",2013-12-02,"7.8600","7.8600","7.2800","7.4100"
"000025",2013-12-03,"7.5000","7.7500","7.4100","7.7500"
"000025",2013-12-04,"7.7500","8.1000","7.7200","7.9600"
"000025",2013-12-05,"7.9600","8.0500","7.8000","7.9200"
"000025",2013-12-06,"7.9000","8.7100","7.6100","8.3900"
"000025",2013-12-09,"8.5300","8.5300","8.2100","8.3500"
"000025",2013-12-10,"8.3500","8.9800","8.2200","8.8000"
"000025",2013-12-11,"8.8600","9.6700","8.6600","9.4200"
"000025",2013-12-12,"9.2500","10.3600","9.1500","10.3600"
